,VTTS ($/min),WTP ($),city_ID,city_name,cost_delta ($),cost_uam ($),dist_range,distance,inc_range,income,mode,purpose,trip_cost_m ($),trip_time_m (min),trip_time_saved (min),trip_time_uam (min),uam_pax_trips,uam_pkt,uam_ticket_cost,uam_utilization,uam_vehicle_trips,vertiport_density
85,4.25,-2814.50057262256,3.0,Moscow,-2859.358558351244,44.85798572868385,[ 88. 110.],99.0,[390000. 494000.],442000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
86,4.25,-2749.105662889737,3.0,Moscow,-2806.6273986184206,57.52173572868385,[110. 154.],132.0,[390000. 494000.],442000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
87,4.25,-2623.614056983465,3.0,Moscow,-2698.020792712149,74.40673572868386,[154. 198.],176.0,[390000. 494000.],442000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
88,4.25,-2488.8294705811354,3.0,Moscow,-2580.121206309819,91.29173572868386,[198. 242.],220.0,[390000. 494000.],442000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
89,4.25,-2354.044884178806,3.0,Moscow,-2462.22161990749,108.17673572868385,[242. 286.],264.0,[390000. 494000.],442000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
90,0.0625,-37.924140939981214,3.0,Moscow,-49.01212666866506,11.08798572868385,[ 0. 22.],11.0,[    0. 26000.],13000.0,personal_vehicle,personal,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
91,0.0625,-33.25223167783907,3.0,Moscow,-52.78271740652292,19.53048572868385,[22. 44.],33.0,[    0. 26000.],13000.0,personal_vehicle,personal,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
92,0.0625,-28.228826267150165,3.0,Moscow,-56.20181199583402,27.972985728683852,[44. 66.],55.0,[    0. 26000.],13000.0,personal_vehicle,personal,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
93,0.0625,-23.250001048157454,3.0,Moscow,-59.665486776841306,36.41548572868385,[66. 88.],77.0,[    0. 26000.],13000.0,personal_vehicle,personal,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
94,0.0625,-18.31482159103765,3.0,Moscow,-63.1728073197215,44.85798572868385,[ 88. 110.],99.0,[    0. 26000.],13000.0,personal_vehicle,personal,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
95,0.0625,-10.975817504613776,3.0,Moscow,-68.49755323329762,57.52173572868385,[110. 154.],132.0,[    0. 26000.],13000.0,personal_vehicle,personal,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
96,0.0625,-0.6272670619921286,3.0,Moscow,-75.03400279067598,74.40673572868386,[154. 198.],176.0,[    0. 26000.],13000.0,personal_vehicle,personal,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
